`0x43001160`; `Sound Options`
`0x4300316d`; `End of Demo`
`0x4300316f`; `Upload Virus`
`0x4300317b`; `Saberling Security Turret: <TEB 1124091132>. This automated pest-control device keeps the Saberling complex free from unwanted visitors.`
`0x4300317c`; `Deactivate`
`0x4300317d`; `Shoot All Targets`
`0x4300317e`; `Shoot Non-Saberling Targets`
`0x43003180`; `Saberling Air Freshener: <TEB 1124091129>. When approached, these flying pests will defend themselves with a spray of poisonous gas.`
`0x43003181`; `Saberling Coffee Maker: <TEB 1124091129>. This lumbering behemoth forms its own shield for protection, but will often redirect the shield energy into a power attack, giving you an opportunity to strike. Its laser arm can be destroyed, causing the enemy to rely on its power attack more often.`
`0x430031b4`; `Biological Intelligence Organization`
`0x430031bd`; `You need a keycard to activate this.`
`0x430031be`; `This terminal is secured by a keycard reader.`
`0x430031bf`; `Conference Control Keycard`
`0x430031c0`; `A keycard that allows access to the conference control room computer terminal.`
`0x430031d8`; `Chapter 1: "Countdown"`
`0x430031d9`; `Saber Mansion - 16:24 hrs`
`0x430031da`; `6 months ago...`
`0x430031db`; `Chapter 2: "Snowball Unleashed"`
`0x430031dc`; `Saber Mansion - 17:03 hrs`
`0x430031dd`; `Saberling Complex Basement - 17:24hrs`
`0x430031f8`; `Plant Transmitter`
`0x43003211`; `Saberling Offices - 17:44 hrs`
`0x43003212`; `Saberling Offices - 18.13 hrs`
`0x4300321c`; `Checkpoint`
`0x4300321d`; `Saberling Personal Computer: <TEB 1124091129>. This "zombie computer" can only be damaged by attacking its vulnerable interior. Wait for it to spawn CPU Fans, then move in to strike its weakpoint.`
`0x4300321e`; `Look`
`0x4300321f`; `NanoHacker`
`0x43003220`; `Uses nanotechnology to temporarily reprogram an enemy's SaberSense chip and turn them into your ally. Not effective on invulnerable enemies.`
`0x43003221`; `Ammo: NanoHacker Chip`
`0x43003222`; `NanoHacker Chips provide ammunition for the NanoHacker`
`0x43003223`; `Ammo: NanoHacker Chip`
`0x43003224`; `NanoHacker Chips provide ammunition for the NanoHacker`
`0x43003225`; `NanoHacker Chip: Ammunition for the NanoHacker (x 1)`
`0x43003226`; `NanoHacker: Fires retargeting chips which turn enemies into allies.`
`0x43003228`; `Freeze Gun`
`0x43003229`; `Fires a freezing beam that turns enemies into blocks of ice.`
`0x4300322a`; `Ammo: Freeze Canister`
`0x4300322b`; `Freeze Canisters provide ammunition for the Freeze Gun`
`0x4300322c`; `Ammo: Freeze Canister`
`0x4300322d`; `Freeze Canisters provide ammunition for the Freeze Gun`
`0x4300322e`; `Freeze Gun : freezes enemies in blocks of ice.`
`0x4300322f`; `DARWIN`
`0x43003230`; `BLASTER`
`0x43003231`; `JUAREZ`
`0x43003232`; `MOOCH`
`0x43003233`; `SPECKLES`
`0x43003234`; `BEN`
`0x43003235`; `Flame Thrower`
`0x43003236`; `Fires a jet of flames which set enemies alight and melt ice obstacles.`
`0x43003237`; `Ammo: Fuel Cell`
`0x43003238`; `Fuel Cells provide ammunition for the Flame Thrower`
`0x43003239`; `Ammo: Fuel Cell`
`0x4300323a`; `Fuel Cells provide ammunition for the Flame Thrower`
`0x4300323b`; `Flame Thrower : sets enemies alight.`
`0x4300323d`; `Designer Test Map`
`0x4300323e`; `Character Test Map`
`0x4300323f`; `Assembly Map`
`0x43003240`; `Shot Bolter`
`0x43003241`; `Fires shot bolts in a wide spread - especially effective at close range.`
`0x43003242`; `Ammo: Shot Bolts`
`0x43003243`; `Shot Bolts provide ammunition for the Shot Bolter`
`0x43003244`; `Ammo: Shot Bolts`
`0x43003245`; `Shot Bolts provide ammunition for the Shot Bolter`
`0x43003246`; `Shot Bolter: fires drill bits.`
`0x43003247`; `Visual Test Map`
`0x43003261`; `SWAT Member`
`0x43003262`; `Saberling Security Door: <TEB 1124091127>. Use Mooch to bypass the fast-moving jaws. Mechanism can be disabled by activating the door switch.`
`0x43003263`; `Vital signs stable but subject is unconcious`
`0x43003264`; `UNUSED Door with powered sliding servo mechanism operated by nearby panel.`
`0x43003265`; `UNUSED Door with powered sliding servo mechanism operated automatically by proximity.`
`0x43003266`; `UNUSED Door is sealed and inoperable.`
`0x43003267`; `UNUSED Scans indicate material of this door could be volatile when exposed to intense heat.`
`0x43003268`; `Vent Cover: This weak metal cover can be destroyed by most weapons and Mooch can also fly through it.`
`0x43003269`; `Box has minimal structural strength and could be destoyed by any type of attack.`
`0x4300326a`; `Security Door Panel: Panel contains control systems for automated security door. May be suceptible to weaponisation.`
`0x4300326b`; `Satellite Dish Barrier: Directional energy barrier is being created by nearby weaponized Satellite Dish. Physical projectiles can only pass through the rear of the barrier. Scans indicate that high-frequency lasers may be able to penetrate the front side.`
`0x4300326c`; `Laser Grid: This high energy laser grid is highly dangerous to both organic and non-organic objects.`
`0x4300326d`; `Panel operates nearby door servo system.`
`0x4300326e`; `Elevator Call Panel: Calls elevator to the current floor.`
`0x4300326f`; `Elevator Panel: Causes elevator to travel to desired destination.`
`0x43003270`; `Nearby door is locked preventing use of the panel for operating the door servo system.`
`0x43003271`; `Item out of scanning range`
`0x43003291`; `Elevator Keycard`
`0x43003292`; `A keycard that allows access to a secure elevator.`
`0x43003293`; `You need a keycard to activate this.`
`0x43003294`; `HURLEY`
`0x43003295`; `Chapter 3: "Saberling Production Facility"`
`0x43003296`; `Packing & Shipping - 20.55 hrs`
`0x43003297`; `Assembly Lines - 21.31 hrs`
`0x43003298`; `Chip Manufacturing - 22.15 hrs`
`0x43003299`; `Production Power Generator - 22.39 hrs`
`0x4300329a`; `Elevator Call Panel (Locked): Nearby elevator is locked preventing panel from operating.`
`0x430032a7`; `Saberling Satellite Dish: <TEB 1124091132>. Creates an inpenetrable barrier to block off areas or protect other enemies.`
`0x430032e6`; `Saberling Computer Center - 18.59 hrs`
`0x430032e7`; `Saberling Computer Center - 19.21 hrs`
`0x430032ee`; `Warning: Hazardous Electromagnetic Frequency Detected!`
`0x4300332a`; `ASSISTANT`
`0x4300332b`; `EXECUTIVE`
`0x4300332c`; `SABER`
`0x4300332d`; `GUARD`
`0x4300332e`; `GUARD A`
`0x4300332f`; `GUARD B`
`0x43003330`; `GUARD C`
`0x43003331`; `SWAT`
`0x43003332`; `SWAT A`
`0x43003333`; `SWAT B`
`0x43003334`; `SWAT C`
`0x43003365`; `Weaponized RDV Target`
`0x43003367`; `Alarm Activated`
`0x43003371`; `COOK A`
`0x43003372`; `COOK B`
`0x4300338c`; `Ammo: Cluster Cell`
`0x4300338d`; `Cluster Cells provide ammunition for the Cluster Rifle`
`0x4300338e`; `Cluster Rifle`
`0x4300338f`; `Rapid fire plasma weapon.`
`0x43003390`; `Cluster Rifle: A rapid fire plasma weapon`
`0x430033b4`; `Keycard`
`0x430033b5`; `A keycard that allows access to a secure door.`
`0x430033b6`; `The system is offline.`
`0x430033b7`; `Saberling Optical Mouse: <TEB 1124091129>. Despite their small size, these vermin can close in fast to strike with their electrified whips.`
`0x430033b8`; `Armory Keycard`
`0x430033b9`; `A keycard that allows armory access.`
`0x430033da`; `FBI AGENT`
`0x430033dc`; `FBI AGENT A`
`0x430033dd`; `FBI AGENT B`
`0x430033de`; `FBI AGENT C`
`0x430033df`; `YANSHU`
`0x43003449`; `[ Cut-Scene Placeholder ]`
`0x430034e7`; `Chapter 4: "Saber"`
`0x430034e8`; `FBI Headquarters - 23.42 hrs`
`0x430034e9`; `FBI Special Victims Unit & Forensics - 00.15 hrs`
`0x430034ea`; `FBI Cyber-crime & Computer Labs - 00.49 hrs`
`0x430034eb`; `FBI Armory and Training - 01.21 hrs`
`0x430034ec`; `FBI Building Rooftop Heli-pad - 01.57 hrs`
`0x430034f3`; `SCIENTIST`
`0x430034f4`; `ELLIOT STONE`
`0x430034f5`; `ELAINE STONE`
`0x430034f6`; `COMPUTER`
`0x430034ff`; `Aim`
`0x43003500`; `Attach`
`0x43003501`; `Exit`
`0x43003502`; `NEWSCASTER`
`0x43003503`; `Saberling Desk Fan: <TEB 1124091130>. With their multiple spinning blades, these enemies can be lethal if encountered in tight spaces.`
`0x43003504`; `Saberling Personal CD Player: <TEB 1124091129>. With its lightning-quick reflexes, this assassin can deflect most long-range attacks.`
`0x43003505`; `Saberling Cordless Headphones: <TEB 1124091129>. Surprisingly fast, these vicious pack hunters can prove deadly when met in large numbers.`
`0x43003506`; `A pair of Saberling headphones`
`0x43003507`; `Infiltration Point`
`0x43003508`; `Find a way to get inside the mansion without being discovered by the guards.`
`0x43003509`; `(Optional)`
`0x4300350a`; `Exfiltrate the Mansion`
`0x4300350b`; `Something has gone wrong - exfiltrate the mansion via any means necessary and regroup with the rest of the team.`
`0x4300350c`; `Stop the SaberSense Countdown`
`0x4300350d`; `The countdown to the activation of SaberSense must be stopped. Get to the conference control room and hack into the computer to shut down the system.`
`0x430035ca`; `Press  <SB 1074266159> to deploy Mooch.`
`0x430035cb`; `Use  <SB 1074266172> to move. Use <SB 1074266173> to aim.`
`0x430035cc`; `Hold  <SB 1074266149> to fire Mooch's interference beam and temporarily deactivate the camera.`
`0x430035dd`; `Hold  <SB 1074266121> to slow time and get past fast moving hazards.`
`0x430035de`; `To carry small objects fly over them and press <SB 1074266123>`
`0x43003613`; `Use infra-red vision to see in dark areas when there is a heat source in the area.`
`0x43003614`; `Press <SB 1074266157> to toggle infra-red vision.`
`0x43003619`; `Attention! Security Breach detected. Full lock down commencing!`
`0x43003669`; `Hold <SB 1074266114> to attract and carry the core. Press <SB 1074266114> to throw the core or press <SB 1074266122> to drop it.`
`0x4300366c`; `Hold <SB 1074266116> to lock on to the socket and then press <SB 1074266114> to throw the core into it.`
`0x4300366d`; `Mooch can also carry power cores – fly close and press <SB 1074266123>`
`0x430036e1`; `Hold <SB 1074266114> until the Electro-Whip v2 begins to glow then quickly release and re-press <SB 1074266114> to unleash a power attack.`
`0x43003701`; `To interact with mechanical wheels climb inside and begin moving in a direction, you can also sprint while in the wheel. To stop using the wheel simply pull away from it.`
`0x43003791`; `Saberling Alarm Clock: <TEB 1124091129>. Activates a self-destruct mechanism if approached or attacked. Keep your distance or quickly take cover to avoid being caught in the explosive blast.`
`0x43003792`; `Objective Complete`
`0x430037ab`; `Chapter 5: "Satellite Menace"`
`0x430037ac`; `Satellite Center Basement - 02.41 hrs`
`0x430037ad`; `Satellite Security - 03.12 hrs`
`0x430037ae`; `Satellite Control - 03.59 hrs`
`0x430037af`; `Satellite Dish - 04.25 hrs`
`0x430037e3`; `Ammo: Cluster Rifle`
`0x43003811`; `Chapter 6: "Inside Clusterstorm"`
`0x43003822`; `Drop`
`0x43003823`; `Throw`
`0x43003824`; `Fire`
`0x4300382d`; `OK Darwin, you’ll need to follow those pipes through those vents. That should lead you to a way out of this place.`
`0x4300382e`; `Got to tell ya - looks real dark down there. But those pipes... they're heated, right? In infrared, they’ll glow like Christmas lights.`
`0x430038a6`; `BOY`
`0x430038a7`; `HUSBAND`
`0x430038a8`; `MAN`
`0x430038a9`; `MAN A`
`0x430038aa`; `MAN B`
`0x430038ab`; `MOM`
`0x430038ac`; `WIFE`
`0x430038ad`; `WOMAN`
`0x430038bf`; `Use the vortex from the ceiling fan to reach the vent.`
`0x430038d2`; `Stand close to the Holo-Scanner and press <SB 1074266115> to produce a Holo-disk.`
`0x430038d4`; `Hold <SB 1074266114> to attract and carry the Holo-disk using the Electro-Whip. Press <SB 1074266114> to throw the Holo-disc or press <SB 1074266122> to drop it.`
`0x43003934`; `Power Attack`
`0x4300393a`; `Obtain the Keycard`
`0x4300393b`; `Use Mooch to obtain the keycard from the conference room and bring it back to Darwin.`
`0x4300393c`; `Access the Computer Center`
`0x4300393d`; `The weaponized speakers have been rendered harmless, return to the computer center entrance.`
`0x4300393e`; `Shut Down the Central Computer`
`0x4300393f`; `The central computer is the key to stopping SaberSense. Find a way to get to the Saberling computer center and shut it down.`
`0x43003940`; `Heating Ducts`
`0x43003941`; `The pressure has returned to normal. Access the heating hub and use the ducts to exit the basement.`
`0x43003942`; `Go to the Heating Hub`
`0x43003943`; `Speckles has plotted a path to the central computer via the heating hub.`
`0x43003944`; `Lower the Pressure`
`0x43003945`; `The heating hub is inaccessible. Find and close the 4 valves in the basement to reduce the pressure and gain access.`
`0x43003946`; `Plant WiFi Transmitters`
`0x43003947`; `Access to the central computer room is sealed. Plant WiFi transmitters on the two secure servers so Speckles can hack into the system.`
`0x43003948`; `Rescue Blaster`
`0x43003949`; `Blaster is trapped in an elevator. Get there quickly and find a way to rescue him.`
`0x4300394a`; `Obtain the Speaker Blueprints`
`0x4300394b`; `Find the blueprints so their ultra-high frequency waves can be neutralized.`
`0x4300394c`; `Upload Virus`
`0x4300394d`; `Go to the central computer console and upload Speckles’ virus.`
`0x4300394e`; `Activate 1st Turbine`
`0x4300394f`; `Activate the 1st power generator turbine.`
`0x43003950`; `Activate 2nd Turbine`
`0x43003951`; `Activate the 2nd power generator turbine.`
`0x43003952`; `Activate 3rd Turbine`
`0x43003953`; `Activate the 3rd power generator turbine.`
`0x43003954`; `Go to the Assembly Hub`
`0x43003955`; `Go through the assembly lines to reach the assembly hub.`
`0x43003956`; `Access Assembly Lines`
`0x43003957`; `Go to the assembly lines to find a way to shut down the production of more appliances.`
`0x43003958`; `Shut Down Phase 1`
`0x43003959`; `Reach and shut down chip production phase 1 by destroying all the robotic arms in the lab. These can only be destroyed by using the Electro-Whip v2 power attack.`
`0x4300395a`; `Shut Down Phase 2`
`0x4300395b`; `Reach and shut down chip production phase 2 by removing the power core generating power to the machinery. The only access is via the air venting system.`
`0x4300395c`; `Shut Down Phase 3`
`0x4300395d`; `Reach and shut down chip production phase 3 by destroying the laser cutter equipment, these can be accessed by powering down the dampening shields.`
`0x4300395e`; `Access Chip Production`
`0x4300395f`; `Use the cargo platform to travel to the chip production facility.`
`0x43003960`; `Destroy the Cooling System`
`0x43003961`; `The cooling system is now exposed, destroy it to send the power generator into overload.`
`0x43003962`; `Escape the Generator`
`0x43003963`; `Escape from the power generator before it overloads. A safety hatch on the upper level is your only way out.`
`0x43003964`; `Obtain Factory Plans`
`0x43003965`; `Find a way into the factory offices and download blueprints for the production facility.`
`0x43003966`; `Go to the Power Generator`
`0x43003967`; `Exit the chip production facility and go to the power generator.`
`0x43003968`; `Help the Scientists`
`0x43003969`; `Scientists are trapped near the blocked airlock to production phase 3. Go to the security room to see if they can be helped.`
`0x4300396a`; `Shut Down the Monorails`
`0x4300396b`; `Stop the worldwide distribution of appliances by shutting down the automated monorail distribution system.`
`0x4300396c`; `Overload Production Machinery`
`0x4300396d`; `Find a way to overload the production machinery and prevent any more appliances being manufactured.`
`0x4300396e`; `Overload the Power Generator`
`0x4300396f`; `Activate the three turbines to overload the power generator to put a final stop to the production facility.`
`0x43003970`; `Use the Pneumatic Tubes`
`0x43003971`; `Use the pneumatic tube system to reach production phase 3.`
`0x43003972`; `Rescue Hurley`
`0x43003973`; `Hurley has the grapple but is in trouble. Find him and rescue him.`
`0x43003974`; `Return to the Assembly Hub`
`0x43003975`; `Use your new Grapple to access the upper levels of the assembly hub.`
`0x43003976`; `Access Forensics Labs`
`0x43003977`; `Saber is on the other side of the building. Go through the Forensics Labs to get to him.`
`0x43003978`; `Access Security Room`
`0x43003979`; `Get into the security room and use the surveillance feeds to locate Saber.`
`0x4300397a`; `Elevator Override`
`0x4300397b`; `The elevator controls have been sabotaged. Find a way to manually move the elevator up to Saber’s floor.`
`0x4300397c`; `Find the Real Saber`
`0x4300397d`; `Yanshu is using holograms of Saber as distractions. You need to find a way to isolate the real Saber and get to him.`
`0x4300397e`; `Find Saber`
`0x4300397f`; `Locate Saber and find out everything he knows about SaberSense.`
`0x43003980`; `Get Outside the Building`
`0x43003981`; `Forensics access is sealed. The only way round is to go outside the building via the Director’s office.`
`0x43003982`; `Get to the Elevators`
`0x43003983`; `Access to the elevators is iced up. Use an alternative route through the restrooms.`
`0x43003984`; `Get to Saber`
`0x43003985`; `Juarez has located the real Saber – get to him.`
`0x43003986`; `Infra-Red Uplink`
`0x43003987`; `Connect the infra-red equipment to the security system. It will allow Juarez to locate the real Saber.`
`0x43003988`; `Rescue Saber`
`0x43003989`; `Yanshu has tricked Saber into going to the heli-pad on the roof, rescue him.`
`0x4300398a`; `Traverse the Courtyard`
`0x4300398b`; `Use the zipline to cross to the other side of the courtyard. Blaster is inside the elevator and may be able to help.`
`0x4300398c`; `Access Satellite Dish 1`
`0x4300398d`; `The communication satellite dishes are the key to stopping Yanshu’s weapon. Access them.`
`0x43003990`; `Access the Main Complex`
`0x43003991`; `Find a way to get into the main Satellite Control Complex.`
`0x43003992`; `Destroy the Satellite Dish`
`0x43003993`; `Once the dish is shut down destroy it, this will permanently stop Yanshu from using it.`
`0x43003996`; `Purchase the NanoHacker v2`
`0x43003997`; `Use the gold data disk to purchase the NanoHacker v2 from the kiosk.`
`0x43003998`; `Obtain the Keycard`
`0x43003999`; `Access to the dish elevator is protected by a keycard. Obtain the keycard to access the elevator.`
`0x4300399a`; `Restore Power`
`0x4300399b`; `Find the 3 power cores needed to restore power to the satellite control room.`
`0x4300399c`; `Return to Control Center`
`0x4300399d`; `Shut Down the Satellite Dish`
`0x4300399e`; `Remove the 2 power cores from the base of the dish to shut it down.`
`0x4300399f`; `Stop Yanshu’s Weapon`
`0x430039a0`; `Yanshu has unleashed a terrible satellite based weapon. Find a way to stop it.`
`0x430039a1`; `Investigate Strange Readings`
`0x430039a2`; `Juarez is picking up strange readings not far from your location – go and investigate.`
`0x430039a3`; `Talk to the Scientists`
`0x430039a4`; `The scientists from the production facility are now at the satellite control building, talk to them.`
`0x430039a5`; `Reach the Core`
`0x430039a6`; `Reach the core of Clusterstorm.`
`0x430039a7`; `Retreat and Regroup`
`0x430039a8`; `The virus didn’t work, escape the computer center and regroup.`
`0x430039a9`; `Escape`
`0x430039aa`; `Escape from the overloading power generator.`
`0x430039ab`; `Vertical Boost`
`0x430039ac`; `Door Panel (Inactive): Panel is inactive and cannot be used.`
`0x430039ad`; `Door Panel (Locked): Panel is locked and cannot be used at this time.`
`0x430039ae`; `Door Panel (Locked Active): Panel can be used from this side only with a weapon or Mooch’s interference beam.`
`0x430039af`; `Door Panel (No Power): Power is required before this panel can open the door.`
`0x430039b0`; `Door Panel (Timed): Panel is locked but nearby manual override can unlock on a time delay.`
`0x430039b1`; `Door Panel (Unlocked): Panel is unlocked and door will open automatically when approached.`
`0x430039b2`; `UNUSED Door Locked: The door is currently locked.`
`0x430039b3`; `Weaponized Berserk CPU Fan: <TEB 1124091129>. Microwave radiation has transformed this CPU fan into a berserk version that will explode on contact.`
`0x430039b4`; `Weaponized Saberling Air Freshener: <TEB 1124091129>. When approached, these flying pests will defend themselves with a spray of poisonous gas.`
`0x430039b5`; `Weaponized Saberling Alarm Clock: <TEB 1124091129>. Activates a self-destruct mechanism if approached or attacked. Keep your distance or quickly take cover to avoid being caught in the explosive blast.`
`0x430039b6`; `Weaponized Saberling Food Processor: <TEB 1124091129>. These can make the environment treacherous by creating pools of hazardous liquid.`
`0x430039b7`; `Weaponized Saberling Personal CD Player: <TEB 1124091129>. With its lightning-quick reflexes, this assassin can deflect most long-range attacks.`
`0x430039b8`; `Weaponized Saberling Coffee Maker: <TEB 1124091129>. This lumbering behemoth forms its own shield for protection, but will often redirect the shield energy into a power attack, giving you an opportunity to strike. Its laser arm can be destroyed, causing the enemy to rely on its power attack more often.`
`0x430039b9`; `Weaponized Saberling CPU Fan: <TEB 1124091129>. Their ability to slow the player down can prove hazardous when combined with other enemies.`
`0x430039ba`; `Weaponized Saberling Desk Fan: <TEB 1124091130>. With their multiple spinning blades, these enemies can be lethal if encountered in tight spaces.`
`0x430039bb`; `Weaponized Saberling Electric Shaver: <TEB 1124091129>. After weakening their prey, these flying creatures like to carry their victims off in a magnetic bubble.`
`0x430039bc`; `Weaponized Saberling Extractor Fan: <TEB 1124091128>. Its air current can be used to access otherwise unreachable places but be careful to avoid contact with its blades. It can be disrupted by most weapons to temporarily stop the air flow.`
`0x430039bd`; `Weaponized Saberling Fire Extinguisher: <TEB 1124091129>. Although no longer interested in putting out fires, this pyromaniac can sometimes be tricked into melting ice barriers with careful luring.`
`0x430039be`; `Weaponized Saberling Vacuum Cleaner: <TEB 1124091129>. Their ability to seek out and use small appliances  as weapons can make for unpredictable encounters.`
`0x430039bf`; `Saberling Soda Cooler: <TEB 1124091129>. Although an energy shield protects most of its body from damage, shooting out its jet thrusters will disable the shield and bring this enemy crashing to the ground. `
